,PerceivedTime
0,-1678824653.4132037
1,0.03656100000000001
2,0.0351649
3,0.035049600000000014
4,0.03512979999999999
5,0.035579599999999934
6,0.035665200000000064
7,0.035678099999999935
8,0.035280700000000054
9,0.03484480000000001
10,0.036094700000000035
11,0.03553879999999998
12,0.03503539999999994
13,0.03522550000000002
14,0.03558430000000001
15,0.03504689999999999
16,0.03573820000000005
17,0.03555470000000005
18,0.03523119999999991
19,0.035401000000000016
20,0.03542819999999991
21,0.036316500000000085
22,0.03561520000000007
23,0.0353819999999998
24,0.0355970000000001
25,0.03518489999999996
26,0.03501580000000004
27,0.03552970000000011
28,0.036052299999999926
29,0.0360765999999999
30,0.035892900000000116
31,0.035464699999999905
32,0.03559480000000015
33,0.03535009999999983
34,0.03535280000000007
35,0.03568769999999999
36,0.0361186
37,0.03602100000000008
38,0.035989099999999885
39,0.03574769999999994
40,0.03518240000000006
41,0.03494520000000012
42,0.035755199999999876
43,0.035377699999999956
44,0.03582109999999994
45,0.03613120000000025
46,0.03542310000000004
47,0.03546439999999995
48,0.03546699999999969
49,0.036007900000000426
50,0.034979799999999894
51,0.035336500000000104
52,0.035053299999999954
53,0.03508289999999992
54,0.035637099999999755
55,0.036393200000000014
56,0.035565200000000186
57,0.03517100000000006
58,0.03520870000000009
59,0.03573019999999971
60,0.03531759999999995
61,0.03543080000000032
62,0.035783099999999735
63,0.03595970000000026
64,0.03610040000000003
65,0.03583779999999992
66,0.03594059999999999
67,0.0355544000000001
68,0.035838799999999615
69,0.035558300000000376
70,0.03539469999999989
71,0.035617199999999904
72,0.035530800000000085
73,0.03490789999999988
74,0.035716300000000256
75,0.035945199999999566
76,0.035977100000000206
77,0.03535099999999991
78,0.03563660000000013
79,0.03608179999999983
80,0.035492700000000266
81,0.035824899999999715
82,0.03526270000000009
83,0.035644200000000126
84,0.03500049999999977
85,0.03524539999999998
86,0.03611980000000026
87,0.036268600000000095
88,0.03589509999999985
89,0.03572199999999981
90,0.035263600000000395
91,0.035717099999999835
92,0.035892500000000105
93,0.03559009999999985
